component,variant,cells,mean_cell_s,serial_core_hours,wall_hours_at_8_workers,disk_gb,basis
1A,exact_enumeration,105600,0.002399,0.07,0.009,0.02,"measured sim1a_exact_cell median over 4 (M,K) x 4 encoders"
1B,full_factorial,561600,0.541575,84.49,10.56,0.225,"measured cell_s median at every (M,K,n_train,encoder,learner)"
1B,fractional_proposed,360000,0.417072,41.71,5.21,0.144,"measured cell_s median at every (M,K,n_train,encoder,learner)"
1C,exact_plus_finite_sample,66000,0.32455,21.87,2.73,0.026,CORRECTED AT S1 FROM MEASURED AMORTISED UNIT COSTS. The S0 figure (5.84) used a 1B cell-cost proxy that did not account for M=1000 producing 4000-wide encodings; it understated this arm by 3.7x. Measured amortised unit cost: M=1000 108.9s (n=5000) / 90.3s (n=500); M=200 24.3/20.4; M=50 7.0/6.0; M=10 3.0/2.5.
2,reproduction_from_frozen_protocol,1459,0.35,0.15,0.02,0.01,"Stage 2 authoritative run is 1,459 vectorised scenario rows at R=10,000"
TOTAL,full_factorial,734659,,106.61,11.32,0.281,CORRECTED AT S1 with the same 1C fix: EXCEEDS the 80 core-hour ceiling by 33%. Not selected.
TOTAL,fractional_proposed,533059,,63.77,7.97,0.2,CORRECTED AT S1: 1A 0.04 + 1C exact 0.004 + 1C finite 21.87 + 1B 41.71 + Sim2 0.15. WITHIN the 80 core-hour ceiling with 20% margin; WITHIN the disk ceiling. No advisor amendment required.
CEILING,advisor_limit,,,80.0,10.0,20.0,GPU hours 0; parallel workers 8; no silent design reduction
PEAK_MEMORY,measured,,,,,,"806 MB peak RSS per worker with chunked evaluation (EVAL_CHUNK=10000); 8 workers => about 6.5 GB, within the 16 GB host"
S1_CORRECTION,sizing_error_disclosure,,,,,,"The S0 resource estimate understated Simulation 1C by 3.7x because the finite arm was projected from a 1B cell-cost proxy rather than measured directly at 1C widths. Discovered at S1 before committing the run, corrected here, and disclosed rather than absorbed. A transform-amortisation optimisation (encode each evaluation chunk once per encoder, predict with all its learners) was implemented in response and measured at 1.78x on the dominant M=1000 term; output is identical."
