placeholder_id,source,manuscript_file,anchor_present_in_tex,tex_line,alias_of,producing_phase,producing_script,required_output_files,required_columns,blocking_for_submission,student_supplies,advisor_writes,notes
REPO-01,register,main and supplement,NO (register-only),,,S1.8 (packaging),scripts/s0_env_commit.py -> 02_ENVIRONMENT_AND_COMMIT.json,02_ENVIRONMENT_AND_COMMIT.json; 20_RESULT_HANDOFF_MEMO.md,repository; branch; full_commit_sha; release_tag,YES,validated numeric values / figure / table files,all interpretive prose,Student supplies commit and release metadata; advisor creates/approves public release and DOI.
SIM-ABS-01,manuscript \SimPending anchor,ct2i_main_revised_clean.tex,YES,140,SIM1-RESULT-01,S1.2 (Sim 1A exact),scripts/run_sim1_summarize.py,07_SIM1_ACCEPTANCE_REPORT.json; 06_SIM1_SUMMARY.csv,criterion_id; criterion_pass; mean_abs_identity_error; mean_gap,YES,validated numeric values / figure file,all interpretive prose,Abstract one-sentence Simulation 1 conclusion. Student supplies the validated pass/fail and max identity error ONLY; advisor writes the sentence.
SIM-CONCL-01,manuscript \SimPending anchor,ct2i_main_revised_clean.tex,YES,864,SIM1-RESULT-01,S1.2 (Sim 1A exact),scripts/run_sim1_summarize.py,07_SIM1_ACCEPTANCE_REPORT.json,criterion_id; criterion_description; maximum_error; tolerance; pass,YES,validated numeric values / figure file,all interpretive prose,Conclusions one-sentence Simulation 1 statement. ADVISOR-WRITTEN PROSE.
SIM-DISC-01,manuscript \SimPending anchor,ct2i_main_revised_clean.tex,YES,789,SIM1-RESULT-02,S1.4 (Sim 1B finite-sample),scripts/run_sim1_summarize.py,06_SIM1_SUMMARY.csv; 09_SIM1_TABLE_DATA.csv; 20_RESULT_HANDOFF_MEMO.md,encoder; learner; metric; representation_loss; learner_shortfall; ci_low; ci_high,YES,validated numeric values / figure file,all interpretive prose,Discussion paragraph integrating Simulation 1 encoding-loss findings. ADVISOR-WRITTEN PROSE; student supplies contrasts with uncertainty only.
SIM-FIG-01,manuscript \SimPending anchor,ct2i_main_revised_clean.tex,YES,700,SIM1-FIG-01,S1.7 (figures),scripts/run_sim1_figures.py,10_SIM1_FIGURES/FigS1_identity.pdf; 08_SIM1_FIGURE_DATA.csv,scenario_id; encoder; metric; estimated_gap; theoretical_gap; mcse,YES,validated numeric values / figure file,all interpretive prose,Main-text Simulation 1 figure float (fig:sim1). Frozen panel plan = Figure S1 panels a-d; see 01_PROTOCOL_FREEZE.yaml figures.FigS1.
SIM-FIG-02,manuscript \SimPending anchor,ct2i_main_revised_clean.tex,YES,736,SIM2-FIG-01,S1.5 (Sim 2 regeneration),scripts/run_sim2_figures.py,16_SIM2_FIGURE.pdf; 15_SIM2_FIGURE_DATA.csv,K; sigma; rho; regime; metric; value; theoretical_value; mcse,YES,validated numeric values / figure file,all interpretive prose,Main-text Simulation 2 figure float (fig:sim2). Numbers are already final in the Stage 2 authoritative output; only rendering is permitted.
SIM1-FIG-01,register,main or supplement,NO (register-only),,,S1.7 (figures),scripts/run_sim1_figures.py (FigS1),08_SIM1_FIGURE_DATA.csv; 10_SIM1_FIGURES/,scenario_id; encoder; metric; estimated_gap; theoretical_gap; mcse,YES,validated numeric values / figure / table files,all interpretive prose,Editable/vector publication output required.
SIM1-FIG-02,register,supplement,NO (register-only),,,S1.7 (figures),scripts/run_sim1_figures.py (FigS2),08_SIM1_FIGURE_DATA.csv; 10_SIM1_FIGURES/,delta_eta; encoder; metric; representation_loss; ci_low; ci_high,YES,validated numeric values / figure / table files,all interpretive prose,Plot plan must be frozen before the full run.
SIM1-FIG-03,register,main or supplement,NO (register-only),,,S1.7 (figures),scripts/run_sim1_figures.py (FigS3),08_SIM1_FIGURE_DATA.csv; 10_SIM1_FIGURES/,M; activation_rate; target_mechanism; encoder; representation_loss; roc_auc; log_loss; brier,YES,validated numeric values / figure / table files,all interpretive prose,Must show both position-specific and Hamming-weight targets.
SIM1-FIG-04,register,supplement,NO (register-only),,,S1.7 (figures),scripts/run_sim1_figures.py (FigS4),08_SIM1_FIGURE_DATA.csv; 10_SIM1_FIGURES/,n_train; encoder; learner; metric; representation_loss; learner_shortfall,YES,validated numeric values / figure / table files,all interpretive prose,Use the frozen learner settings.
