row_kind,component,item,measured_unit_cost,unit_cost_units,multiplier,multiplier_meaning,projected_core_hours,projected_gb,spread,provenance_probe,repetitions,machine_state,notes
META,PHASE,phase_and_status,,,,,,,,,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","Phase A0.1 resource CONFIRMATION. SUPERSEDES S0A_ADDENDUM_RESOURCE_ESTIMATE.csv (8.555 core-h / 0.084 GB), which is left byte-identical. Full addendum cells run: 0. Real-data models run: 0. GPU hours: 0. Nothing written under raw/."
META,PHASE,why_a0_is_superseded,,,,,,,,,,,"The A0 projection priced only the base cells. The advisor rulings of 2026-08-21 add D17 (>=624 reference cells through the dependency-free reference_gap_report), D14 (normalised estimands per cell) and D13 (block-resampling bootstrap), and the A1 runner writes a 78-field schema instead of 1B's 27-field schema, which changes disk materially."
MEASUREMENT_ANCHOR,C1_BASE_CELLS,anchor_d3_measured_core_hours,5.930868,core-hours,1,the whole identically-shaped d=3 twin arm,,,,"read-only: pandas on 05b_SIM1B_REPLICATE_RESULTS.parquet, df[(df.M==5)&(df.K==4)].cpu_seconds.sum()/3600",1 (deterministic read),"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","Re-verified this session: 182,400 rows, 48 scenarios, n_train CPU split 2.524478 h (n=500) / 3.406390 h (n=5000). Identical to A0's anchor -- CONFIRMED."
MEASUREMENT_PROBE,C1_BASE_CELLS,ratio_d5_over_d3_weighted_pooled,1.025065,dimensionless,1,CPU-weighted (2.524478 h / 3.406390 h) pooled-CPU ratio,,,"95% CI [1.013130, 1.036365] (20,000 resamples of the 32 pair measurements, stratified by n_train, seed 20260824); per-pair range [0.934166, 1.099713]","/private/tmp/claude-501/-Users-Eric-Desktop-114----code-result/e234d5a4-799b-49a4-b4f1-9d19ec0e4653/scratchpad/s0b/ratio_probe.py -> S0B_RATIO_PROBE_ROWS.csv; imports A0's s0a_addendum_microbenchmark.probe_scenario UNMODIFIED (byte-identical code at both d); append_rows() never called, so S0A_ADDENDUM_MICROBENCHMARK_ROWS.csv is byte-identical","32 matched d3/d5 pair measurements = 16 distinct configurations (all 8 parameter-draw blocks x n_train in {500,5000}) x 2 timing rounds, 3 replicates x 13 encoder configurations each; 1,226 s wall","macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i; 1m loadavg at probe start: min 1.89 median 3.06 max 5.31 (host NOT idle; disclosed)","ADDRESSES A0's DISCLOSED WEAKNESS. A0 had 3 pairs, 1 at n=500 carrying 43% of the weight. This has 16 n=500 pair measurements over 8 distinct blocks, so the largest single-measurement weight falls from 43% to 2.7% -- a 16x larger n=500 evidence base. A0's point estimate 1.030345 lies INSIDE this CI and is CONFIRMED; A0's published band [1.0169,1.0500] was the min/max of 3 pairs and UNDERSTATED the per-pair spread, which is really [0.934,1.100]. Mean-of-ratios estimator agrees: 1.025429."
MEASUREMENT_PROBE,C1_BASE_CELLS,runner_overhead_vs_a0_probe_copy,1.0069,dimensionless,1,"new A1 runner CPU / A0 probe-copy CPU, per replicate, same process",,,"runner 7.588-7.717 s/replicate (sd 0.091); probe copy 7.575-7.626 s/replicate (sd 0.036) -- the two spreads OVERLAP, so the overhead is NOT resolved at n=2","/private/tmp/claude-501/-Users-Eric-Desktop-114----code-result/e234d5a4-799b-49a4-b4f1-9d19ec0e4653/scratchpad/s0b/component_probe.py, component RUNNER; run_sim1b_dense_addendum.scenario_worker(S1BD-0048, replicates=3) at frozen n_eval=50,000 vs probe_scenario(5, zipf, 1.5, 3, 0.3, 5000, 3); every runner row asserted stamped NON_FROZEN_PROBE_NOT_AN_ADDENDUM_RESULT and discarded","2 rounds x 3 replicates per arm, interleaved","macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","Prices what the A0 anchor never contained: the D14 estimands, the 78-field typed row schema and the typed-failure machinery. Carried at 1.0069 as the conservative direction; n=2 is thin and is disclosed as such."
PROJECTION,C1_BASE_CELLS,base_cells_uncalibrated,,,5.930868 x 1.025065 x 1.0069,anchor x measured d-ratio x measured runner overhead,6.121474,,"[6.050, 6.189] from the ratio CI",derived from the three rows above,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","182,400 EXECUTED rows = 76 rows/replicate x 50 replicates x 48 scenarios."
PROJECTION,C1_BASE_CELLS,base_cells_calibrated,,,1.4,calibration carried forward from A0 (S0_RESOURCE_ESTIMATE 1B fractional: projected 41.71 vs measured 57.97 core-h = 1.390x; run_s1_reports D11 calls it the fourth consecutive underestimate),8.570064,,"[8.4703, 8.6645] from the ratio CI",derived,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","KEPT. My measurements do not contradict it, they merely fail to REQUIRE it: the anchor is a measured full-arm cost of the identically-shaped twin (so the ~1.4x 8-worker contention factor is already inside it), the runner adds only 1.0069, and the four historical underestimates all came from composing a PROXY rather than measuring. It is therefore carried as conservatism, not as a fitted correction. Dropping it would give 6.125 core-h (30.6% of the ceiling); it is NOT needed to pass the ceiling, so keeping it cannot be a case of tuning assumptions to fit."
MEASUREMENT_PROBE,C2_D17_REFERENCE_CHECK,reference_gap_report_per_cell,0.001755,CPU seconds per cell,624,48 scenarios x 13 encoder configurations x 1 frozen replicate,0.000304,,"median 1.755 ms, mean 1.682 ms, min 1.068 ms, max 19.12 ms, sd 1.440 ms (per-config medians 1.079-2.021 ms)","/private/tmp/claude-501/-Users-Eric-Desktop-114----code-result/e234d5a4-799b-49a4-b4f1-9d19ec0e4653/scratchpad/s0b/component_probe.py, component D17; sim1_core.reference_gap_report on the d=5 population layer (1024 states), all 13 frozen encoder configurations",156 = 13 configurations x 12 timed calls,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","This is the INLINE cost: run_sim1b_dense_addendum.scenario_worker calls reference_gap_report when rep is the scenario's frozen reference replicate. FINDING: the 'deliberately slow' dependency-free reference is 2.4x FASTER than the production fast path here (exact_gap_report median 4.176 ms), because the production path also computes the theoretical gaps and the fiber diagnostics. Reported as measured."
MEASUREMENT_PROBE,C2_D17_REFERENCE_CHECK,standalone_harness_full_run,10.1233,CPU seconds per 624-cell run,1.025065,d5/d3 scaling of the population-rebuild layer,0.002883,,10.12 / 10.21 / 10.03 s CPU (user+sys); wall 10.57 / 10.55 / 10.24 s,"scripts/s0b_reference_gap_check.py --arm d3_frozen --out <scratch>, run 3x under /usr/bin/time -p; output written ONLY to scratch, never to the package and never under raw/",3 full 624-cell runs,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","RE-MEASURED rather than trusting the reported '~10 seconds': confirmed, 10.24-10.57 s wall / 10.03-10.21 s CPU. Every run returned cells=624 RESULT=PASS, max identity error 5.447e-15 against tolerance 1e-10. Measured on the FROZEN d=3 arm because --arm addendum is an A1 gate and no addendum cell may be run; the state space is K**M=1024 at both d, so the reference cost transfers directly."
MEASUREMENT_PROBE,C3_D14_NORMALISED_ESTIMANDS,population_signal_scales,0.000028,CPU seconds per call,2400,replicate cells = 48 scenarios x 50 replicates,0.000019,,"median 28 us, mean 29.1 us, min 27 us, max 53 us, sd 2.5 us","/private/tmp/claude-501/-Users-Eric-Desktop-114----code-result/e234d5a4-799b-49a4-b4f1-9d19ec0e4653/scratchpad/s0b/component_probe.py, component D14; run_sim1b_dense_addendum.population_signal_scales on the d=5 1024-cell table",300,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","Computes P(Y=1), H(Y), Var{eta(X)} and the two Bayes-on-X risks -- the D14 denominators."
